 ,Area,Mean,Min,Max
1,205,255,255,255
2,147,255,255,255
3,285,255,255,255
4,239,255,255,255
5,171,255,255,255
6,441,255,255,255
7,192,255,255,255
8,107,255,255,255
9,208,255,255,255
10,180,255,255,255
11,198,255,255,255
12,180,255,255,255
13,134,255,255,255
14,211,255,255,255
15,326,255,255,255
16,324,255,255,255
17,235,255,255,255
18,191,255,255,255
19,380,255,255,255
20,305,255,255,255
21,534,255,255,255
22,322,255,255,255
23,274,255,255,255
24,321,255,255,255
25,139,255,255,255
26,321,255,255,255
27,230,255,255,255
28,356,255,255,255
29,288,255,255,255
30,360,255,255,255
31,233,255,255,255
32,240,255,255,255
33,165,255,255,255
34,600,255,255,255
35,273,255,255,255
36,163,255,255,255
37,232,255,255,255
38,325,255,255,255
39,443,255,255,255
40,392,255,255,255
41,214,255,255,255
42,229,255,255,255
43,335,255,255,255
44,290,255,255,255
45,198,255,255,255
46,321,255,255,255
47,262,255,255,255
48,276,255,255,255
49,184,255,255,255
50,296,255,255,255
51,251,255,255,255
52,203,255,255,255
53,320,255,255,255
54,150,255,255,255
55,203,255,255,255
56,203,255,255,255
57,288,255,255,255
58,203,255,255,255
59,254,255,255,255
60,216,255,255,255
61,294,255,255,255
62,267,255,255,255
63,180,255,255,255
64,160,255,255,255
65,187,255,255,255
66,155,255,255,255
67,164,255,255,255
68,321,255,255,255
69,207,255,255,255
70,184,255,255,255
71,96,255,255,255
72,348,255,255,255
73,416,255,255,255
74,332,255,255,255
75,224,255,255,255
76,419,255,255,255
77,238,255,255,255
78,172,255,255,255
79,378,255,255,255
80,226,255,255,255
81,195,255,255,255
82,249,255,255,255
83,134,255,255,255
84,206,255,255,255
85,186,255,255,255
86,273,255,255,255
87,167,255,255,255
88,145,255,255,255
89,246,255,255,255
90,182,255,255,255
91,165,255,255,255
92,234,255,255,255
93,309,255,255,255
94,422,255,255,255
95,181,255,255,255
96,405,255,255,255
97,170,255,255,255
98,182,255,255,255
99,420,255,255,255
100,386,255,255,255
101,247,255,255,255
102,239,255,255,255
103,244,255,255,255
104,234,255,255,255
105,259,255,255,255
106,82,255,255,255
107,325,255,255,255
108,186,255,255,255
109,229,255,255,255
110,203,255,255,255
111,382,255,255,255
112,112,255,255,255
113,176,255,255,255
114,226,255,255,255
115,215,255,255,255
116,166,255,255,255
117,228,255,255,255
118,317,255,255,255
119,208,255,255,255
120,228,255,255,255
121,351,255,255,255
122,313,255,255,255
123,188,255,255,255
124,247,255,255,255
125,179,255,255,255
126,305,255,255,255
127,192,255,255,255
128,347,255,255,255
129,212,255,255,255
130,372,255,255,255
131,210,255,255,255
132,467,255,255,255
133,209,255,255,255
134,335,255,255,255
135,284,255,255,255
136,297,255,255,255
137,192,255,255,255
138,305,255,255,255
139,280,255,255,255
140,297,255,255,255
141,220,255,255,255
142,226,255,255,255
143,212,255,255,255
144,244,255,255,255
145,344,255,255,255
146,203,255,255,255
147,222,255,255,255
148,261,255,255,255
149,220,255,255,255
150,97,255,255,255
151,88,255,255,255
