 ,Area,Mean,Min,Max
1,638,255,255,255
2,1184,255,255,255
3,1590,255,255,255
4,1564,255,255,255
5,483,255,255,255
6,1134,255,255,255
7,1706,255,255,255
8,1558,255,255,255
9,1438,255,255,255
10,1612,255,255,255
11,1723,255,255,255
12,1354,255,255,255
13,1962,255,255,255
14,1821,255,255,255
15,1458,255,255,255
16,1245,255,255,255
17,2051,255,255,255
18,1527,255,255,255
19,1465,255,255,255
20,1169,255,255,255
21,1297,255,255,255
22,1672,255,255,255
23,1513,255,255,255
24,1105,255,255,255
25,402,255,255,255
