 ,Area,Mean,Min,Max
1,622,255,255,255
2,722,255,255,255
3,1245,255,255,255
4,57,255,255,255
5,218,255,255,255
6,314,255,255,255
7,644,255,255,255
8,885,255,255,255
9,1079,255,255,255
10,1354,255,255,255
11,816,255,255,255
12,1217,255,255,255
13,734,255,255,255
14,761,255,255,255
15,315,255,255,255
16,621,255,255,255
17,2078,255,255,255
18,951,255,255,255
19,1291,255,255,255
20,735,255,255,255
21,845,255,255,255
22,620,255,255,255
23,1391,255,255,255
24,1763,255,255,255
25,1377,255,255,255
26,1326,255,255,255
27,993,255,255,255
28,810,255,255,255
29,1873,255,255,255
30,1018,255,255,255
31,749,255,255,255
32,1170,255,255,255
33,989,255,255,255
34,1241,255,255,255
35,1228,255,255,255
36,1340,255,255,255
37,1868,255,255,255
38,721,255,255,255
39,1821,255,255,255
40,1083,255,255,255
41,1698,255,255,255
42,853,255,255,255
43,1186,255,255,255
44,467,255,255,255
